Data,Saldo,Aporte,Base de Cálculo,Rendimento Bruto,IR (%),Rendimento Líquido,Saldo Final
05/2042,"R$ 508.941,26","R$ 1.000,00","R$ 509.941,26","R$ 5.354,38",15.0%,"R$ 4.551,23","R$ 514.492,49"
06/2042,"R$ 514.492,49","R$ 1.000,00","R$ 515.492,49","R$ 5.412,67",15.0%,"R$ 4.600,77","R$ 520.093,26"
07/2042,"R$ 520.093,26","R$ 1.000,00","R$ 521.093,26","R$ 5.471,48",15.0%,"R$ 4.650,76","R$ 525.744,01"
08/2042,"R$ 525.744,01","R$ 1.000,00","R$ 526.744,01","R$ 5.530,81",15.0%,"R$ 4.701,19","R$ 531.445,20"
09/2042,"R$ 531.445,20","R$ 1.000,00","R$ 532.445,20","R$ 5.590,67",15.0%,"R$ 4.752,07","R$ 537.197,28"
10/2042,"R$ 537.197,28","R$ 1.000,00","R$ 538.197,28","R$ 5.651,07",15.0%,"R$ 4.803,41","R$ 543.000,69"
11/2042,"R$ 543.000,69","R$ 1.000,00","R$ 544.000,69","R$ 5.712,01",15.0%,"R$ 4.855,21","R$ 548.855,89"
12/2042,"R$ 548.855,89","R$ 1.000,00","R$ 549.855,89","R$ 5.773,49",15.0%,"R$ 4.907,46","R$ 554.763,36"
01/2043,"R$ 554.763,36","R$ 1.000,00","R$ 555.763,36","R$ 5.835,52",15.0%,"R$ 4.960,19","R$ 560.723,55"
02/2043,"R$ 560.723,55","R$ 1.000,00","R$ 561.723,55","R$ 5.898,10",15.0%,"R$ 5.013,38","R$ 566.736,93"
03/2043,"R$ 566.736,93","R$ 1.000,00","R$ 567.736,93","R$ 5.961,24",15.0%,"R$ 5.067,05","R$ 572.803,98"
04/2043,"R$ 572.803,98","R$ 1.000,00","R$ 573.803,98","R$ 6.024,94",15.0%,"R$ 5.121,20","R$ 578.925,18"
05/2043,"R$ 578.925,18","R$ 1.000,00","R$ 579.925,18","R$ 6.089,21",15.0%,"R$ 5.175,83","R$ 585.101,01"
06/2043,"R$ 585.101,01","R$ 1.000,00","R$ 586.101,01","R$ 6.154,06",15.0%,"R$ 5.230,95","R$ 591.331,97"
07/2043,"R$ 591.331,97","R$ 1.000,00","R$ 592.331,97","R$ 6.219,49",15.0%,"R$ 5.286,56","R$ 597.618,53"
08/2043,"R$ 597.618,53","R$ 1.000,00","R$ 598.618,53","R$ 6.285,49",15.0%,"R$ 5.342,67","R$ 603.961,20"
09/2043,"R$ 603.961,20","R$ 1.000,00","R$ 604.961,20","R$ 6.352,09",15.0%,"R$ 5.399,28","R$ 610.360,48"
10/2043,"R$ 610.360,48","R$ 1.000,00","R$ 611.360,48","R$ 6.419,29",15.0%,"R$ 5.456,39","R$ 616.816,87"
11/2043,"R$ 616.816,87","R$ 1.000,00","R$ 617.816,87","R$ 6.487,08",15.0%,"R$ 5.514,02","R$ 623.330,89"
12/2043,"R$ 623.330,89","R$ 1.000,00","R$ 624.330,89","R$ 6.555,47",15.0%,"R$ 5.572,15","R$ 629.903,04"
01/2044,"R$ 629.903,04","R$ 1.000,00","R$ 630.903,04","R$ 6.624,48",15.0%,"R$ 5.630,81","R$ 636.533,85"
02/2044,"R$ 636.533,85","R$ 1.000,00","R$ 637.533,85","R$ 6.694,11",15.0%,"R$ 5.689,99","R$ 643.223,84"
03/2044,"R$ 643.223,84","R$ 1.000,00","R$ 644.223,84","R$ 6.764,35",15.0%,"R$ 5.749,70","R$ 649.973,54"
04/2044,"R$ 649.973,54","R$ 1.000,00","R$ 650.973,54","R$ 6.835,22",15.0%,"R$ 5.809,94","R$ 656.783,47"
05/2044,"R$ 656.783,47","R$ 1.000,00","R$ 657.783,47","R$ 6.906,73",15.0%,"R$ 5.870,72","R$ 663.654,19"
06/2044,"R$ 663.654,19","R$ 1.000,00","R$ 664.654,19","R$ 6.978,87",15.0%,"R$ 5.932,04","R$ 670.586,23"
07/2044,"R$ 670.586,23","R$ 1.000,00","R$ 671.586,23","R$ 7.051,66",15.0%,"R$ 5.993,91","R$ 677.580,14"
08/2044,"R$ 677.580,14","R$ 1.000,00","R$ 678.580,14","R$ 7.125,09",15.0%,"R$ 6.056,33","R$ 684.636,47"
09/2044,"R$ 684.636,47","R$ 1.000,00","R$ 685.636,47","R$ 7.199,18",15.0%,"R$ 6.119,31","R$ 691.755,77"
10/2044,"R$ 691.755,77","R$ 1.000,00","R$ 692.755,77","R$ 7.273,94",15.0%,"R$ 6.182,85","R$ 698.938,62"
11/2044,"R$ 698.938,62","R$ 1.000,00","R$ 699.938,62","R$ 7.349,36",15.0%,"R$ 6.246,95","R$ 706.185,57"
12/2044,"R$ 706.185,57","R$ 1.000,00","R$ 707.185,57","R$ 7.425,45",15.0%,"R$ 6.311,63","R$ 713.497,20"
01/2045,"R$ 713.497,20","R$ 1.000,00","R$ 714.497,20","R$ 7.502,22",15.0%,"R$ 6.376,89","R$ 720.874,09"
02/2045,"R$ 720.874,09","R$ 1.000,00","R$ 721.874,09","R$ 7.579,68",15.0%,"R$ 6.442,73","R$ 728.316,81"
03/2045,"R$ 728.316,81","R$ 1.000,00","R$ 729.316,81","R$ 7.657,83",15.0%,"R$ 6.509,15","R$ 735.825,97"
04/2045,"R$ 735.825,97","R$ 1.000,00","R$ 736.825,97","R$ 7.736,67",15.0%,"R$ 6.576,17","R$ 743.402,14"
05/2045,"R$ 743.402,14","R$ 1.000,00","R$ 744.402,14","R$ 7.816,22",15.0%,"R$ 6.643,79","R$ 751.045,93"
06/2045,"R$ 751.045,93","R$ 1.000,00","R$ 752.045,93","R$ 7.896,48",15.0%,"R$ 6.712,01","R$ 758.757,94"
07/2045,"R$ 758.757,94","R$ 1.000,00","R$ 759.757,94","R$ 7.977,46",15.0%,"R$ 6.780,84","R$ 766.538,78"
08/2045,"R$ 766.538,78","R$ 1.000,00","R$ 767.538,78","R$ 8.059,16",15.0%,"R$ 6.850,28","R$ 774.389,06"
09/2045,"R$ 774.389,06","R$ 1.000,00","R$ 775.389,06","R$ 8.141,59",15.0%,"R$ 6.920,35","R$ 782.309,41"
10/2045,"R$ 782.309,41","R$ 1.000,00","R$ 783.309,41","R$ 8.224,75",15.0%,"R$ 6.991,04","R$ 790.300,44"
11/2045,"R$ 790.300,44","R$ 1.000,00","R$ 791.300,44","R$ 8.308,65",15.0%,"R$ 7.062,36","R$ 798.362,80"
12/2045,"R$ 798.362,80","R$ 1.000,00","R$ 799.362,80","R$ 8.393,31",15.0%,"R$ 7.134,31","R$ 806.497,11"
01/2046,"R$ 806.497,11","R$ 1.000,00","R$ 807.497,11","R$ 8.478,72",15.0%,"R$ 7.206,91","R$ 814.704,02"
02/2046,"R$ 814.704,02","R$ 1.000,00","R$ 815.704,02","R$ 8.564,89",15.0%,"R$ 7.280,16","R$ 822.984,18"
03/2046,"R$ 822.984,18","R$ 1.000,00","R$ 823.984,18","R$ 8.651,83",15.0%,"R$ 7.354,06","R$ 831.338,24"
04/2046,"R$ 831.338,24","R$ 1.000,00","R$ 832.338,24","R$ 8.739,55",15.0%,"R$ 7.428,62","R$ 839.766,86"
