Data,Saldo,Aporte,Base de Cálculo,Rendimento Bruto,IR (%),Rendimento Líquido,Saldo Final
08/2029,"R$ 46.679,67","R$ 1.000,00","R$ 47.679,67","R$ 500,64",15.0%,"R$ 425,54","R$ 48.105,21"
09/2029,"R$ 48.105,21","R$ 1.000,00","R$ 49.105,21","R$ 515,60",15.0%,"R$ 438,26","R$ 49.543,47"
10/2029,"R$ 49.543,47","R$ 1.000,00","R$ 50.543,47","R$ 530,71",15.0%,"R$ 451,10","R$ 50.994,57"
11/2029,"R$ 50.994,57","R$ 1.000,00","R$ 51.994,57","R$ 545,94",15.0%,"R$ 464,05","R$ 52.458,62"
12/2029,"R$ 52.458,62","R$ 1.000,00","R$ 53.458,62","R$ 561,32",15.0%,"R$ 477,12","R$ 53.935,74"
01/2030,"R$ 53.935,74","R$ 1.000,00","R$ 54.935,74","R$ 576,83",15.0%,"R$ 490,30","R$ 55.426,04"
02/2030,"R$ 55.426,04","R$ 1.000,00","R$ 56.426,04","R$ 592,47",15.0%,"R$ 503,60","R$ 56.929,64"
03/2030,"R$ 56.929,64","R$ 1.000,00","R$ 57.929,64","R$ 608,26",15.0%,"R$ 517,02","R$ 58.446,67"
04/2030,"R$ 58.446,67","R$ 1.000,00","R$ 59.446,67","R$ 624,19",15.0%,"R$ 530,56","R$ 59.977,23"
05/2030,"R$ 59.977,23","R$ 1.000,00","R$ 60.977,23","R$ 640,26",15.0%,"R$ 544,22","R$ 61.521,45"
06/2030,"R$ 61.521,45","R$ 1.000,00","R$ 62.521,45","R$ 656,48",15.0%,"R$ 558,00","R$ 63.079,45"
07/2030,"R$ 63.079,45","R$ 1.000,00","R$ 64.079,45","R$ 672,83",15.0%,"R$ 571,91","R$ 64.651,36"
08/2030,"R$ 64.651,36","R$ 1.000,00","R$ 65.651,36","R$ 689,34",15.0%,"R$ 585,94","R$ 66.237,30"
09/2030,"R$ 66.237,30","R$ 1.000,00","R$ 67.237,30","R$ 705,99",15.0%,"R$ 600,09","R$ 67.837,39"
10/2030,"R$ 67.837,39","R$ 1.000,00","R$ 68.837,39","R$ 722,79",15.0%,"R$ 614,37","R$ 69.451,77"
11/2030,"R$ 69.451,77","R$ 1.000,00","R$ 70.451,77","R$ 739,74",15.0%,"R$ 628,78","R$ 71.080,55"
