Data,Saldo,Base de Cálculo,Rendimento Bruto,IR (%),Rendimento Líquido,Saldo Final
05/2045,"R$ 736.901,84","R$ 736.901,84","R$ 7.737,47",15.0%,"R$ 6.576,85","R$ 744.478,69"
06/2045,"R$ 744.478,69","R$ 744.478,69","R$ 7.817,03",15.0%,"R$ 6.644,47","R$ 752.123,16"
07/2045,"R$ 752.123,16","R$ 752.123,16","R$ 7.897,29",15.0%,"R$ 6.712,70","R$ 759.835,86"
08/2045,"R$ 759.835,86","R$ 759.835,86","R$ 7.978,28",15.0%,"R$ 6.781,54","R$ 767.617,40"
09/2045,"R$ 767.617,40","R$ 767.617,40","R$ 8.059,98",15.0%,"R$ 6.850,99","R$ 775.468,38"
10/2045,"R$ 775.468,38","R$ 775.468,38","R$ 8.142,42",15.0%,"R$ 6.921,06","R$ 783.389,44"
11/2045,"R$ 783.389,44","R$ 783.389,44","R$ 8.225,59",15.0%,"R$ 6.991,75","R$ 791.381,19"
12/2045,"R$ 791.381,19","R$ 791.381,19","R$ 8.309,50",15.0%,"R$ 7.063,08","R$ 799.444,27"
01/2046,"R$ 799.444,27","R$ 799.444,27","R$ 8.394,16",15.0%,"R$ 7.135,04","R$ 807.579,31"
02/2046,"R$ 807.579,31","R$ 807.579,31","R$ 8.479,58",15.0%,"R$ 7.207,65","R$ 815.786,95"
03/2046,"R$ 815.786,95","R$ 815.786,95","R$ 8.565,76",15.0%,"R$ 7.280,90","R$ 824.067,85"
04/2046,"R$ 824.067,85","R$ 824.067,85","R$ 8.652,71",15.0%,"R$ 7.354,81","R$ 832.422,66"
