Data,Saldo,Base de Cálculo,Rendimento Bruto,IR (%),Rendimento Líquido,Saldo Final
08/2031,"R$ 83.913,92","R$ 83.913,92","R$ 881,10",15.0%,"R$ 748,93","R$ 85.662,85"
09/2031,"R$ 85.662,85","R$ 85.662,85","R$ 899,46",15.0%,"R$ 764,54","R$ 87.427,39"
10/2031,"R$ 87.427,39","R$ 87.427,39","R$ 917,99",15.0%,"R$ 780,29","R$ 89.207,68"
11/2031,"R$ 89.207,68","R$ 89.207,68","R$ 936,68",15.0%,"R$ 796,18","R$ 91.003,86"
12/2031,"R$ 91.003,86","R$ 91.003,86","R$ 955,54",15.0%,"R$ 812,21","R$ 92.816,07"
01/2032,"R$ 92.816,07","R$ 92.816,07","R$ 974,57",15.0%,"R$ 828,38","R$ 94.644,45"
02/2032,"R$ 94.644,45","R$ 94.644,45","R$ 993,77",15.0%,"R$ 844,70","R$ 96.489,15"
03/2032,"R$ 96.489,15","R$ 96.489,15","R$ 1.013,14",15.0%,"R$ 861,17","R$ 98.350,32"
04/2032,"R$ 98.350,32","R$ 98.350,32","R$ 1.032,68",15.0%,"R$ 877,78","R$ 100.228,10"
05/2032,"R$ 100.228,10","R$ 100.228,10","R$ 1.052,40",15.0%,"R$ 894,54","R$ 102.122,63"
06/2032,"R$ 102.122,63","R$ 102.122,63","R$ 1.072,29",15.0%,"R$ 911,44","R$ 104.034,08"
07/2032,"R$ 104.034,08","R$ 104.034,08","R$ 1.092,36",15.0%,"R$ 928,50","R$ 105.962,58"
08/2032,"R$ 105.962,58","R$ 105.962,58","R$ 1.112,61",15.0%,"R$ 945,72","R$ 107.908,30"
09/2032,"R$ 107.908,30","R$ 107.908,30","R$ 1.133,04",15.0%,"R$ 963,08","R$ 109.871,38"
10/2032,"R$ 109.871,38","R$ 109.871,38","R$ 1.153,65",15.0%,"R$ 980,60","R$ 111.851,98"
11/2032,"R$ 111.851,98","R$ 111.851,98","R$ 1.174,45",15.0%,"R$ 998,28","R$ 113.850,26"
12/2032,"R$ 113.850,26","R$ 113.850,26","R$ 1.195,43",15.0%,"R$ 1.016,11","R$ 115.866,37"
01/2033,"R$ 115.866,37","R$ 115.866,37","R$ 1.216,60",15.0%,"R$ 1.034,11","R$ 117.900,48"
02/2033,"R$ 117.900,48","R$ 117.900,48","R$ 1.237,96",15.0%,"R$ 1.052,26","R$ 119.952,74"
03/2033,"R$ 119.952,74","R$ 119.952,74","R$ 1.259,50",15.0%,"R$ 1.070,58","R$ 122.023,32"
04/2033,"R$ 122.023,32","R$ 122.023,32","R$ 1.281,24",15.0%,"R$ 1.089,06","R$ 124.112,38"
05/2033,"R$ 124.112,38","R$ 124.112,38","R$ 1.303,18",15.0%,"R$ 1.107,70","R$ 126.220,08"
06/2033,"R$ 126.220,08","R$ 126.220,08","R$ 1.325,31",15.0%,"R$ 1.126,51","R$ 128.346,59"
07/2033,"R$ 128.346,59","R$ 128.346,59","R$ 1.347,64",15.0%,"R$ 1.145,49","R$ 130.492,09"
